Cultura,UF,Município,Inicio,Termino
Milho,AC,Acrelândia,11-Sep,31-Dec
Milho,AC,Acrelândia,11-Sep,31-Dec
Milho,AC,Acrelândia,11-Sep,31-Dec
Milho,AC,Assis Brasil,11-Sep,31-Dec
Milho,AC,Assis Brasil,11-Sep,31-Dec
Milho,AC,Assis Brasil,11-Sep,31-Dec
Milho,AC,Brasiléia,11-Sep,31-Dec
Milho,AC,Brasiléia,11-Sep,31-Dec
Milho,AC,Brasiléia,11-Sep,31-Dec
Milho,AC,Bujari,11-Sep,31-Dec
Milho,AC,Bujari,11-Sep,31-Dec
Milho,AC,Bujari,11-Sep,31-Dec
Milho,AC,Capixaba,11-Sep,31-Dec
Milho,AC,Capixaba,11-Sep,31-Dec
Milho,AC,Capixaba,11-Sep,31-Dec
Milho,AC,Cruzeiro do Sul,01-Aug,31-Dec
Milho,AC,Cruzeiro do Sul,01-Aug,31-Dec
Milho,AC,Cruzeiro do Sul,01-Aug,31-Dec
Milho,AC,Epitaciolândia,11-Sep,31-Dec
Milho,AC,Epitaciolândia,11-Sep,31-Dec
Milho,AC,Epitaciolândia,11-Sep,31-Dec
Milho,AC,Feijó,01-Sep,31-Dec
Milho,AC,Feijó,01-Aug,31-Dec
Milho,AC,Feijó,01-Aug,31-Dec
Milho,AC,Mâncio Lima,01-Aug,31-Dec
Milho,AC,Mâncio Lima,01-Aug,31-Dec
Milho,AC,Mâncio Lima,01-Aug,31-Dec
Milho,AC,Manoel Urbano,01-Sep,31-Dec
Milho,AC,Manoel Urbano,01-Sep,31-Dec
Milho,AC,Manoel Urbano,01-Sep,31-Dec
Milho,AC,Marechal Thaumaturgo,11-Aug,31-Dec
Milho,AC,Marechal Thaumaturgo,01-Aug,31-Dec
Milho,AC,Marechal Thaumaturgo,01-Aug,31-Dec
Milho,AC,Plácido de Castro,11-Sep,31-Dec
Milho,AC,Plácido de Castro,11-Sep,31-Dec
Milho,AC,Plácido de Castro,11-Sep,31-Dec
Milho,AC,Porto Acre,11-Sep,31-Dec
Milho,AC,Porto Acre,11-Sep,31-Dec
Milho,AC,Porto Acre,11-Sep,31-Dec
Milho,AC,Porto Walter,01-Aug,31-Dec
Milho,AC,Porto Walter,01-Aug,31-Dec
Milho,AC,Porto Walter,01-Aug,31-Dec
Milho,AC,Rio Branco,11-Sep,31-Dec
Milho,AC,Rio Branco,11-Sep,31-Dec
Milho,AC,Rio Branco,11-Sep,31-Dec
Milho,AC,Rodrigues Alves,01-Aug,31-Dec
Milho,AC,Rodrigues Alves,01-Aug,31-Dec
Milho,AC,Rodrigues Alves,01-Aug,31-Dec
Milho,AC,Santa Rosa do Purus,01-Sep,31-Dec
Milho,AC,Santa Rosa do Purus,01-Sep,31-Dec
Milho,AC,Santa Rosa do Purus,01-Sep,31-Dec
Milho,AC,Sena Madureira,11-Sep,31-Dec
Milho,AC,Sena Madureira,01-Sep,31-Dec
Milho,AC,Sena Madureira,01-Sep,31-Dec
Milho,AC,Senador Guiomard,11-Sep,31-Dec
Milho,AC,Senador Guiomard,11-Sep,31-Dec
Milho,AC,Senador Guiomard,11-Sep,31-Dec
Milho,AC,Tarauacá,11-Aug,31-Dec
Milho,AC,Tarauacá,01-Aug,31-Dec
Milho,AC,Tarauacá,01-Aug,31-Dec
Milho,AC,Xapuri,11-Sep,31-Dec
Milho,AC,Xapuri,11-Sep,31-Dec
Milho,AC,Xapuri,11-Sep,31-Dec
Milho,AL,Água Branca,-,-
Milho,AL,Anadia,11-Mar,20-Jul
Milho,AL,Anadia,11-Mar,30-Jun
Milho,AL,Anadia,11-Mar,20-Jun
Milho,AL,Arapiraca,21-Mar,10-Jul
Milho,AL,Arapiraca,21-Mar,30-Jun
Milho,AL,Arapiraca,21-Mar,10-Jun
Milho,AL,Atalaia,11-Mar,20-Jul
