Cultura,UF,Município,Inicio,Termino
Arroz,AC,Acrelândia,11-Sep,28-Feb
Arroz,AC,Assis Brasil,11-Sep,28-Feb
Arroz,AC,Brasiléia,11-Sep,28-Feb
Arroz,AC,Bujari,01-Sep,28-Feb
Arroz,AC,Capixaba,11-Sep,28-Feb
Arroz,AC,Cruzeiro do Sul,01-Sep,28-Feb
Arroz,AC,Epitaciolândia,11-Sep,28-Feb
Arroz,AC,Feijó,01-Sep,28-Feb
Arroz,AC,Mâncio Lima,01-Sep,28-Feb
Arroz,AC,Manoel Urbano,01-Sep,28-Feb
Arroz,AC,Marechal Thaumaturgo,01-Sep,28-Feb
Arroz,AC,Plácido de Castro,11-Sep,28-Feb
Arroz,AC,Porto Acre,11-Sep,28-Feb
Arroz,AC,Porto Walter,01-Sep,28-Feb
Arroz,AC,Rio Branco,11-Sep,28-Feb
Arroz,AC,Rodrigues Alves,01-Sep,28-Feb
Arroz,AC,Santa Rosa do Purus,01-Sep,28-Feb
Arroz,AC,Sena Madureira,01-Sep,28-Feb
Arroz,AC,Senador Guiomard,11-Sep,28-Feb
Arroz,AC,Tarauacá,01-Sep,28-Feb
Arroz,AC,Xapuri,11-Sep,28-Feb
Arroz,BA,Barreiras,01-Nov,31-Dec
Arroz,BA,Cocos,01-Nov,30-Nov
Arroz,BA,Coribe,01-Nov,10-Nov
Arroz,BA,Correntina,01-Nov,31-Dec
Arroz,BA,Feira da Mata,01-Nov,10-Nov
Arroz,BA,Formosa do Rio Preto,01-Nov,31-Dec
Arroz,BA,Jaborandi,01-Nov,31-Dec
Arroz,BA,Luís Eduardo Magalhães,01-Nov,31-Dec
Arroz,BA,Riachão das Neves,01-Nov,31-Dec
Arroz,BA,Santa Maria da Vitória,01-Nov,10-Nov
Arroz,BA,São Desidério,01-Nov,31-Dec
Arroz,DF,Brasília,01-Oct,31-Jan
Arroz,ES,Afonso Cláudio,01-Oct,20-Nov
Arroz,ES,Água Doce do Norte,11-Oct,10-Nov
Arroz,ES,Águia Branca,01-Oct,10-Nov
Arroz,ES,Alegre,01-Oct,30-Nov
Arroz,ES,Alfredo Chaves,01-Oct,20-Nov
Arroz,ES,Alto Rio Novo,11-Oct,10-Nov
Arroz,ES,Anchieta,01-Oct,10-Nov
Arroz,ES,Apiacá,01-Oct,20-Nov
Arroz,ES,Aracruz,01-Oct,10-Nov
Arroz,ES,Atílio Vivácqua,01-Oct,20-Nov
Arroz,ES,Baixo Guandu,01-Oct,20-Nov
Arroz,ES,Barra de São Francisco,01-Oct,10-Nov
Arroz,ES,Boa Esperança,01-Oct,31-Oct
Arroz,ES,Bom Jesus do Norte,01-Oct,20-Nov
Arroz,ES,Brejetuba,01-Oct,20-Nov
Arroz,ES,Cachoeiro de Itapemirim,01-Oct,20-Nov
Arroz,ES,Cariacica,01-Oct,10-Nov
Arroz,ES,Castelo,01-Oct,30-Nov
Arroz,ES,Colatina,01-Oct,10-Nov
Arroz,ES,Conceição da Barra,01-Oct,20-Oct
Arroz,ES,Conceição do Castelo,01-Oct,20-Nov
Arroz,ES,Divino de São Lourenço,01-Oct,30-Nov
Arroz,ES,Domingos Martins,01-Oct,20-Nov
Arroz,ES,Dores do Rio Preto,01-Oct,30-Nov
Arroz,ES,Ecoporanga,01-Oct,31-Oct
Arroz,ES,Fundão,01-Oct,10-Nov
Arroz,ES,Governador Lindenberg,01-Oct,10-Nov
Arroz,ES,Guaçuí,01-Oct,30-Nov
Arroz,ES,Guarapari,01-Oct,10-Nov
Arroz,ES,Ibatiba,01-Oct,20-Nov
Arroz,ES,Ibiraçu,01-Oct,10-Nov
Arroz,ES,Ibitirama,01-Oct,30-Nov
Arroz,ES,Iconha,01-Oct,10-Nov
Arroz,ES,Irupi,01-Oct,30-Nov
Arroz,ES,Itaguaçu,01-Oct,20-Nov
Arroz,ES,Itapemirim,01-Oct,10-Nov
Arroz,ES,Itarana,01-Oct,20-Nov
Arroz,ES,Iúna,01-Oct,30-Nov
Arroz,ES,Jaguaré,01-Oct,31-Oct
Arroz,ES,Jerônimo Monteiro,01-Oct,20-Nov
Arroz,ES,João Neiva,01-Oct,10-Nov
Arroz,ES,Laranja da Terra,01-Oct,20-Nov
Arroz,ES,Linhares,01-Oct,10-Nov
Arroz,ES,Mantenópolis,11-Oct,10-Nov
Arroz,ES,Marataízes,01-Oct,31-Oct
Arroz,ES,Marechal Floriano,01-Oct,20-Nov
Arroz,ES,Marilândia,01-Oct,10-Nov
Arroz,ES,Mimoso do Sul,01-Oct,20-Nov
Arroz,ES,Montanha,01-Oct,20-Oct
Arroz,ES,Mucurici,01-Oct,31-Oct
Arroz,ES,Muniz Freire,01-Oct,30-Nov
Arroz,ES,Muqui,01-Oct,20-Nov
Arroz,ES,Nova Venécia,01-Oct,10-Nov
Arroz,ES,Pancas,11-Oct,10-Nov
Arroz,ES,Pedro Canário,01-Oct,20-Oct
Arroz,ES,Pinheiros,01-Oct,20-Oct
Arroz,ES,Piúma,01-Oct,10-Nov
Arroz,ES,Ponto Belo,01-Oct,31-Oct
Arroz,ES,Presidente Kennedy,01-Oct,10-Nov
Arroz,ES,Rio Bananal,01-Oct,10-Nov
Arroz,ES,Rio Novo do Sul,01-Oct,10-Nov
Arroz,ES,Santa Leopoldina,01-Oct,10-Nov
Arroz,ES,Santa Maria de Jetibá,01-Oct,20-Nov
Arroz,ES,Santa Teresa,01-Oct,20-Nov
Arroz,ES,São Domingos do Norte,01-Oct,10-Nov
Arroz,ES,São Gabriel da Palha,01-Oct,10-Nov
Arroz,ES,São José do Calçado,01-Oct,30-Nov
Arroz,ES,São Mateus,01-Oct,31-Oct
Arroz,ES,São Roque do Canaã,01-Oct,20-Nov
Arroz,ES,Serra,01-Oct,10-Nov
Arroz,ES,Sooretama,01-Oct,31-Oct
Arroz,ES,Vargem Alta,01-Oct,20-Nov
Arroz,ES,Venda Nova do Imigrante,01-Oct,20-Nov
Arroz,ES,Viana,01-Oct,10-Nov
Arroz,ES,Vila Pavão,01-Oct,10-Nov
Arroz,ES,Vila Valério,01-Oct,10-Nov
Arroz,ES,Vila Velha,01-Oct,10-Nov
Arroz,ES,Vitória,01-Oct,10-Nov
Arroz,GO,Abadia de Goiás,01-Oct,31-Jan
Arroz,GO,Abadiânia,01-Oct,31-Jan
Arroz,GO,Acreúna,01-Oct,31-Jan
Arroz,GO,Adelândia,01-Oct,31-Jan
Arroz,GO,Água Fria de Goiás,11-Oct,31-Jan
Arroz,GO,Água Limpa,01-Oct,31-Jan
Arroz,GO,Águas Lindas de Goiás,01-Oct,31-Jan
Arroz,GO,Alexânia,01-Oct,31-Jan
Arroz,GO,Aloândia,01-Oct,31-Jan
Arroz,GO,Alto Horizonte,11-Oct,31-Jan
Arroz,GO,Alto Paraíso de Goiás,11-Oct,31-Jan
Arroz,GO,Alvorada do Norte,21-Oct,31-Jan
Arroz,GO,Amaralina,11-Oct,31-Jan
Arroz,GO,Americano do Brasil,01-Oct,31-Jan
Arroz,GO,Amorinópolis,01-Oct,31-Jan
Arroz,GO,Anápolis,01-Oct,31-Jan
Arroz,GO,Anhangüera,01-Oct,31-Jan
Arroz,GO,Anicuns,01-Oct,31-Jan
Arroz,GO,Aparecida de Goiânia,01-Oct,31-Jan
Arroz,GO,Aparecida do Rio Doce,01-Oct,31-Jan
