Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2024\2025,Arroz,AC,Acrelândia,Grupo I,Arenoso,Sequeiro,Não se aplica,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo II,Arenoso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo III,Arenoso,Sequeiro,Não se aplica,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Acrelândia,Grupo III,Textura Média,Sequeiro,Não se aplica,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo I,Arenoso,Sequeiro,Não se aplica,30,30,30,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,30,20
2024\2025,Arroz,AC,Assis Brasil,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,30,30,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo II,Arenoso,Sequeiro,Não se aplica,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30
2024\2025,Arroz,AC,Assis Brasil,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo III,Arenoso,Sequeiro,Não se aplica,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,30,30,30,30,30
2024\2025,Arroz,AC,Assis Brasil,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Assis Brasil,Grupo III,Textura Média,Sequeiro,Não se aplica,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo I,Arenoso,Sequeiro,Não se aplica,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,30,30
2024\2025,Arroz,AC,Brasiléia,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,30,30,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo II,Arenoso,Sequeiro,Não se aplica,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,30,30,30
2024\2025,Arroz,AC,Brasiléia,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo II,Textura Média,Sequeiro,Não se aplica,20,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,30,20,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo III,Arenoso,Sequeiro,Não se aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,30,40,0
2024\2025,Arroz,AC,Brasiléia,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Brasiléia,Grupo III,Textura Média,Sequeiro,Não se aplica,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,30
2024\2025,Arroz,AC,Bujari,Grupo I,Arenoso,Sequeiro,Não se aplica,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo II,Arenoso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo III,Arenoso,Sequeiro,Não se aplica,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Bujari,Grupo III,Textura Média,Sequeiro,Não se aplica,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo I,Arenoso,Sequeiro,Não se aplica,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo II,Arenoso,Sequeiro,Não se aplica,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo III,Arenoso,Sequeiro,Não se aplica,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Capixaba,Grupo III,Textura Média,Sequeiro,Não se aplica,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo I,Arenoso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo II,Arenoso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo III,Arenoso,Sequeiro,Não se aplica,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Cruzeiro do Sul,Grupo III,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo I,Arenoso,Sequeiro,Não se aplica,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,30,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,30,30,30,30,30,30,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo II,Arenoso,Sequeiro,Não se aplica,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,30,30,30
2024\2025,Arroz,AC,Epitaciolândia,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo II,Textura Média,Sequeiro,Não se aplica,20,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,30,30,30,20,20,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo III,Arenoso,Sequeiro,Não se aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,30,30,40,0
2024\2025,Arroz,AC,Epitaciolândia,Grupo III,Argiloso,Sequeiro,Não se aplica,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Epitaciolândia,Grupo III,Textura Média,Sequeiro,Não se aplica,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,30
2024\2025,Arroz,AC,Feijó,Grupo I,Arenoso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo I,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo I,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo II,Arenoso,Sequeiro,Não se aplica,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo II,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo II,Textura Média,Sequeiro,Não se aplica,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo III,Arenoso,Sequeiro,Não se aplica,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo III,Argiloso,Sequeiro,Não se aplica,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
2024\2025,Arroz,AC,Feijó,Grupo III,Textura Média,Sequeiro,Não se aplica,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
