Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
SEM SAFRA,Arroz Irrigado Tropical,AC,Acrelândia,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Acrelândia,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Acrelândia,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Assis Brasil,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Assis Brasil,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Assis Brasil,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Brasiléia,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Brasiléia,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Brasiléia,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Bujari,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Bujari,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Bujari,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,20,20,20,20,20,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Capixaba,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Capixaba,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Capixaba,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Cruzeiro do Sul,Grupo I,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Cruzeiro do Sul,Grupo I,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM SAFRA,Arroz Irrigado Tropical,AC,Cruzeiro do Sul,Grupo I,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,40,40,30,30,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
