Cultura,UF,Município,Inicio,Termino
Café Arábica Sequeiro Implantação,BA,Abaíra,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Almadina,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Andaraí,21-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Barra da Estiva,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Barra do Choça,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Boa Nova,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Bom Jesus da Serra,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Boninal,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Bonito,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Brumado,21-Oct,30-Nov
Café Arábica Sequeiro Implantação,BA,Caatiba,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Caetité,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Contendas do Sincorá,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Cravolândia,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Dom Basílio,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Encruzilhada,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Érico Cardoso,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Ibicoara,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Igaporã,21-Oct,10-Nov
Café Arábica Sequeiro Implantação,BA,Iguaí,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Iramaia,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Iraquara,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Itagi,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Itambé,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Itanhém,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Itaquara,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Itiruçu,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Ituaçu,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Jaguaquara,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Jequié,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Jucuruçu,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Jussiape,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Lafaiete Coutinho,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Lagoa Real,21-Oct,30-Nov
Café Arábica Sequeiro Implantação,BA,Lajedo do Tabocal,21-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Lençóis,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Livramento de Nossa Senhora,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Manoel Vitorino,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Morro do Chapéu,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Mucugê,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Mulungu do Morro,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Nova Canaã,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Novo Horizonte,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Palmeiras,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Paramirim,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Piatã,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Planalto,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Poções,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Ribeirão do Largo,01-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Rio de Contas,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Rio do Pires,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Seabra,21-Sep,10-Dec
Café Arábica Sequeiro Implantação,BA,Tapiramutá,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Utinga,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Vitória da Conquista,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,BA,Wagner,11-Oct,10-Dec
Café Arábica Sequeiro Implantação,DF,Brasília,01-Oct,30-Nov
