Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
PERENE,Café Canéfora Sequeiro Implantação,AC,Acrelândia,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Assis Brasil,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Brasiléia,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Bujari,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Capixaba,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Cruzeiro do Sul,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Epitaciolândia,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Feijó,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Jordão,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Mâncio Lima,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Manoel Urbano,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Marechal Thaumaturgo,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Plácido de Castro,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,0,0,0,0,0,0,0,0,0,0
PERENE,Café Canéfora Sequeiro Implantação,AC,Porto Acre,Grupo I,AD6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,0,0,0,0,0,0,0,0,0,0
