Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Água Branca,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Água Branca,Perene,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Água Branca,Perene,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Anadia,Perene,Arenoso,-,-,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,40,30,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Anadia,Perene,Argiloso,-,-,0,0,0,0,0,0,40,20,30,40,40,40,40,40,40,40,40,30,20,20,20,20,20,20,40,40,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Anadia,Perene,Textura Média,-,-,0,0,0,0,0,40,40,30,40,40,40,40,40,40,40,40,40,30,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Arapiraca,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Arapiraca,Perene,Argiloso,-,-,0,0,0,0,0,0,40,30,40,0,0,0,0,0,0,0,0,40,30,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Arapiraca,Perene,Textura Média,-,-,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar (açúcar e álcool),AL,Atalaia,Perene,Arenoso,-,-,0,0,0,0,0,40,30,30,40,40,40,40,40,40,40,40,30,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0
