Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Água Branca,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Água Branca,Perene,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Água Branca,Perene,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Anadia,Perene,Arenoso,-,-,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Anadia,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Anadia,Perene,Textura Média,-,-,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Arapiraca,Perene,Arenoso,-,-,30,30,30,30,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Arapiraca,Perene,Argiloso,-,-,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Arapiraca,Perene,Textura Média,-,-,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Atalaia,Perene,Arenoso,-,-,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Atalaia,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Atalaia,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de Santo Antônio,Perene,Arenoso,-,-,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de Santo Antônio,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de Santo Antônio,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de São Miguel,Perene,Arenoso,-,-,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de São Miguel,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Barra de São Miguel,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Batalha,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Batalha,Perene,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Batalha,Perene,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belém,Perene,Arenoso,-,-,20,30,30,30,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belém,Perene,Argiloso,-,-,20,20,20,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belém,Perene,Textura Média,-,-,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belo Monte,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belo Monte,Perene,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Belo Monte,Perene,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Boca da Mata,Perene,Arenoso,-,-,20,20,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Boca da Mata,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Boca da Mata,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Branquinha,Perene,Arenoso,-,-,20,20,20,20,20,20,30,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Branquinha,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Branquinha,Perene,Textura Média,-,-,20,20,20,20,20,20,30,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cacimbinhas,Perene,Arenoso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cacimbinhas,Perene,Argiloso,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cacimbinhas,Perene,Textura Média,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cajueiro,Perene,Arenoso,-,-,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cajueiro,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Cajueiro,Perene,Textura Média,-,-,20,20,20,20,20,20,30,30,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Campestre,Perene,Arenoso,-,-,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Campestre,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar Irrigada (açúcar e álcool),AL,Campestre,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20
