Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
PERENE,Cana-de-Açúcar (outros fins),AC,Acrelândia,Perene,Arenoso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,40,30,20,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Acrelândia,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,40,20,20,20,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Acrelândia,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Assis Brasil,Perene,Arenoso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Assis Brasil,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,40,40,40,40,30,20,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Assis Brasil,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Brasiléia,Perene,Arenoso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Brasiléia,Perene,Argiloso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,0,0,0,0,0,0,40,30,30,20,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Brasiléia,Perene,Textura Média,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,0,0,0,0,0,0,0,30,30,20,20,20,20,20,20,20,20,20,20
PERENE,Cana-de-Açúcar (outros fins),AC,Bujari,Perene,Arenoso,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,40,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20,20,20
