Cultura,UF,Município,Inicio,Termino
Feijão Caupi,AC,Acrelândia,21-Feb,30-Apr
Feijão Caupi,AC,Assis Brasil,21-Feb,30-Apr
Feijão Caupi,AC,Brasiléia,21-Feb,30-Apr
Feijão Caupi,AC,Bujari,21-Feb,30-Apr
Feijão Caupi,AC,Capixaba,21-Feb,30-Apr
Feijão Caupi,AC,Cruzeiro do Sul,01-Mar,20-Jun
Feijão Caupi,AC,Epitaciolândia,01-Feb,30-Apr
Feijão Caupi,AC,Feijó,21-Feb,31-May
Feijão Caupi,AC,Mâncio Lima,01-Mar,20-Jun
Feijão Caupi,AC,Manoel Urbano,21-Feb,10-May
Feijão Caupi,AC,Marechal Thaumaturgo,21-Feb,31-May
Feijão Caupi,AC,Plácido de Castro,21-Feb,30-Apr
Feijão Caupi,AC,Porto Acre,21-Feb,30-Apr
Feijão Caupi,AC,Porto Walter,21-Feb,31-May
Feijão Caupi,AC,Rio Branco,21-Feb,30-Apr
Feijão Caupi,AC,Rodrigues Alves,01-Mar,20-Jun
Feijão Caupi,AC,Santa Rosa do Purus,21-Feb,10-May
Feijão Caupi,AC,Sena Madureira,21-Feb,10-May
Feijão Caupi,AC,Senador Guiomard,21-Feb,30-Apr
Feijão Caupi,AC,Tarauacá,21-Feb,31-May
Feijão Caupi,AC,Xapuri,21-Feb,30-Apr
Feijão Caupi,AL,Água Branca,01-Apr,20-Jun
Feijão Caupi,AL,Anadia,21-May,10-Aug
Feijão Caupi,AL,Arapiraca,01-Apr,10-Aug
Feijão Caupi,AL,Atalaia,01-Jun,10-Aug
Feijão Caupi,AL,Barra de Santo Antônio,01-Jun,20-Aug
Feijão Caupi,AL,Barra de São Miguel,01-Jun,20-Aug
Feijão Caupi,AL,Batalha,21-Mar,31-Jul
Feijão Caupi,AL,Belém,11-Apr,10-Aug
Feijão Caupi,AL,Belo Monte,21-Mar,31-Jul
Feijão Caupi,AL,Boca da Mata,21-May,10-Aug
Feijão Caupi,AL,Branquinha,21-May,10-Aug
Feijão Caupi,AL,Cacimbinhas,21-Mar,31-Jul
Feijão Caupi,AL,Cajueiro,21-May,10-Aug
Feijão Caupi,AL,Campestre,11-Jun,10-Aug
Feijão Caupi,AL,Campo Alegre,21-May,10-Aug
Feijão Caupi,AL,Campo Grande,01-Apr,10-Aug
Feijão Caupi,AL,Canapi,01-Apr,30-Jun
Feijão Caupi,AL,Capela,21-May,10-Aug
Feijão Caupi,AL,Carneiros,01-Apr,10-Jul
Feijão Caupi,AL,Chã Preta,11-Mar,10-Aug
Feijão Caupi,AL,Coité do Nóia,11-Apr,10-Aug
Feijão Caupi,AL,Colônia Leopoldina,11-Jun,10-Aug
Feijão Caupi,AL,Coqueiro Seco,01-Jun,20-Aug
Feijão Caupi,AL,Coruripe,21-May,20-Aug
Feijão Caupi,AL,Craíbas,21-Mar,31-Jul
Feijão Caupi,AL,Delmiro Gouveia,01-Apr,20-Jun
Feijão Caupi,AL,Dois Riachos,21-Mar,20-Jul
Feijão Caupi,AL,Estrela de Alagoas,21-Mar,31-Jul
Feijão Caupi,AL,Feira Grande,11-Apr,10-Aug
Feijão Caupi,AL,Feliz Deserto,21-May,20-Aug
Feijão Caupi,AL,Flexeiras,01-Jun,10-Aug
Feijão Caupi,AL,Girau do Ponciano,21-Mar,31-Jul
Feijão Caupi,AL,Ibateguara,21-May,10-Aug
Feijão Caupi,AL,Igaci,01-Apr,10-Aug
Feijão Caupi,AL,Igreja Nova,11-Mar,10-Aug
Feijão Caupi,AL,Inhapi,01-Apr,30-Jun
Feijão Caupi,AL,Jacaré dos Homens,21-Mar,20-Jul
Feijão Caupi,AL,Jacuípe,21-May,10-Aug
Feijão Caupi,AL,Japaratinga,01-Jun,10-Aug
Feijão Caupi,AL,Jaramataia,21-Mar,31-Jul
Feijão Caupi,AL,Jequiá da Praia,21-May,20-Aug
Feijão Caupi,AL,Joaquim Gomes,01-Jun,10-Aug
Feijão Caupi,AL,Jundiá,11-Jun,10-Aug
Feijão Caupi,AL,Junqueiro,11-Mar,10-Aug
Feijão Caupi,AL,Lagoa da Canoa,01-Apr,10-Aug
Feijão Caupi,AL,Limoeiro de Anadia,11-Mar,10-Aug
Feijão Caupi,AL,Maceió,01-Jun,20-Aug
Feijão Caupi,AL,Major Isidoro,21-Mar,31-Jul
Feijão Caupi,AL,Mar Vermelho,11-Mar,10-Aug
Feijão Caupi,AL,Maragogi,01-Jun,10-Aug
Feijão Caupi,AL,Maravilha,01-Apr,10-Jul
Feijão Caupi,AL,Marechal Deodoro,01-Jun,20-Aug
Feijão Caupi,AL,Maribondo,21-May,10-Aug
Feijão Caupi,AL,Mata Grande,01-Apr,20-Jun
Feijão Caupi,AL,Matriz de Camaragibe,01-Jun,10-Aug
Feijão Caupi,AL,Messias,01-Jun,10-Aug
Feijão Caupi,AL,Minador do Negrão,21-Mar,31-Jul
Feijão Caupi,AL,Monteirópolis,21-Mar,20-Jul
Feijão Caupi,AL,Murici,01-Jun,10-Aug
Feijão Caupi,AL,Novo Lino,11-Jun,10-Aug
Feijão Caupi,AL,Olho D'Água das Flores,21-Mar,20-Jul
Feijão Caupi,AL,Olho D'Água do Casado,01-Apr,30-Jun
Feijão Caupi,AL,Olho D'Água Grande,11-Apr,10-Aug
Feijão Caupi,AL,Olivença,21-Mar,20-Jul
