Cultura,UF,Município,Inicio,Termino
Soja,AC,Acrelândia,21-Sep,10-Feb
Soja,AC,Assis Brasil,21-Sep,10-Feb
Soja,AC,Brasiléia,21-Sep,10-Feb
Soja,AC,Bujari,21-Sep,10-Feb
Soja,AC,Capixaba,21-Sep,10-Feb
Soja,AC,Cruzeiro do Sul,21-Sep,10-Feb
Soja,AC,Epitaciolândia,21-Sep,10-Feb
Soja,AC,Feijó,21-Sep,10-Feb
Soja,AC,Mâncio Lima,21-Sep,10-Feb
Soja,AC,Manoel Urbano,21-Sep,10-Feb
Soja,AC,Marechal Thaumaturgo,21-Sep,10-Feb
Soja,AC,Plácido de Castro,21-Sep,10-Feb
Soja,AC,Porto Acre,21-Sep,10-Feb
Soja,AC,Porto Walter,21-Sep,10-Feb
Soja,AC,Rio Branco,21-Sep,10-Feb
Soja,AC,Rodrigues Alves,21-Sep,10-Feb
Soja,AC,Santa Rosa do Purus,21-Sep,10-Feb
Soja,AC,Sena Madureira,21-Sep,10-Feb
Soja,AC,Senador Guiomard,21-Sep,10-Feb
Soja,AC,Tarauacá,21-Sep,10-Feb
Soja,AC,Xapuri,21-Sep,10-Feb
Soja,BA,Alcobaça,01-Oct,10-Nov
Soja,BA,Almadina,01-Oct,31-Dec
Soja,BA,Anagé,21-Oct,10-Nov
Soja,BA,Angical,21-Oct,31-Dec
Soja,BA,Aracatu,01-Nov,10-Nov
Soja,BA,Arataca,01-Oct,31-Dec
Soja,BA,Aurelino Leal,01-Oct,31-Dec
Soja,BA,Baianópolis,21-Oct,31-Dec
Soja,BA,Barra,01-Nov,31-Dec
Soja,BA,Barra do Choça,01-Oct,30-Nov
Soja,BA,Barra do Rocha,01-Oct,10-Oct
Soja,BA,Barreiras,21-Oct,31-Dec
Soja,BA,Barro Preto,01-Oct,31-Dec
Soja,BA,Belmonte,01-Oct,31-Oct
Soja,BA,Belo Campo,21-Oct,20-Nov
Soja,BA,Boa Nova,01-Oct,31-Oct
Soja,BA,Bom Jesus da Lapa,01-Nov,30-Nov
Soja,BA,Bom Jesus da Serra,21-Oct,31-Oct
Soja,BA,Boquira,01-Nov,20-Nov
Soja,BA,Botuporã,01-Nov,20-Nov
Soja,BA,Brejolândia,01-Nov,31-Dec
Soja,BA,Brumado,01-Nov,10-Nov
Soja,BA,Buerarema,01-Oct,31-Dec
Soja,BA,Buritirama,01-Nov,31-Dec
Soja,BA,Caatiba,01-Oct,30-Nov
Soja,BA,Caculé,01-Nov,20-Nov
Soja,BA,Caetité,01-Nov,20-Nov
Soja,BA,Camacan,01-Oct,10-Nov
Soja,BA,Camamu,01-Oct,10-Oct
Soja,BA,Campo Alegre de Lourdes,11-Nov,31-Dec
Soja,BA,Canápolis,01-Nov,31-Dec
Soja,BA,Canavieiras,01-Oct,31-Oct
Soja,BA,Candiba,01-Nov,20-Nov
Soja,BA,Cândido Sales,21-Oct,30-Nov
Soja,BA,Caraíbas,21-Oct,20-Nov
Soja,BA,Caravelas,01-Oct,20-Nov
Soja,BA,Carinhanha,01-Nov,30-Nov
Soja,BA,Catolândia,21-Oct,31-Dec
Soja,BA,Caturama,01-Nov,10-Nov
Soja,BA,Coaraci,01-Oct,31-Dec
Soja,BA,Cocos,21-Oct,31-Dec
Soja,BA,Condeúba,01-Nov,20-Nov
Soja,BA,Cordeiros,21-Oct,20-Nov
Soja,BA,Coribe,21-Oct,31-Dec
Soja,BA,Correntina,21-Oct,31-Dec
Soja,BA,Cotegipe,01-Nov,31-Dec
Soja,BA,Cristópolis,01-Nov,31-Dec
Soja,BA,Dário Meira,01-Oct,31-Oct
Soja,BA,Encruzilhada,01-Oct,31-Dec
