Cultura,UF,Município,Inicio,Termino
Soja,AC,Acrelândia,1900-09-21,1900-02-10
Soja,AC,Assis Brasil,1900-09-21,1900-02-10
Soja,AC,Brasiléia,1900-09-21,1900-02-10
Soja,AC,Bujari,1900-09-21,1900-02-10
Soja,AC,Capixaba,1900-09-21,1900-02-10
Soja,AC,Cruzeiro do Sul,1900-09-21,1900-02-10
Soja,AC,Epitaciolândia,1900-09-21,1900-02-10
Soja,AC,Feijó,1900-09-21,1900-02-10
Soja,AC,Mâncio Lima,1900-09-21,1900-02-10
Soja,AC,Manoel Urbano,1900-09-21,1900-02-10
Soja,AC,Marechal Thaumaturgo,1900-09-21,1900-02-10
Soja,AC,Plácido de Castro,1900-09-21,1900-02-10
Soja,AC,Porto Acre,1900-09-21,1900-02-10
Soja,AC,Porto Walter,1900-09-21,1900-02-10
Soja,AC,Rio Branco,1900-09-21,1900-02-10
Soja,AC,Rodrigues Alves,1900-09-21,1900-02-10
Soja,AC,Santa Rosa do Purus,1900-09-21,1900-02-10
Soja,AC,Sena Madureira,1900-09-21,1900-02-10
Soja,AC,Senador Guiomard,1900-09-21,1900-02-10
Soja,AC,Tarauacá,1900-09-21,1900-02-10
Soja,AC,Xapuri,1900-09-21,1900-02-10
Soja,BA,Alcobaça,1900-10-01,1900-11-10
Soja,BA,Almadina,1900-10-01,1900-12-31
Soja,BA,Anagé,1900-10-21,1900-11-10
Soja,BA,Angical,1900-10-21,1900-12-31
Soja,BA,Aracatu,1900-11-01,1900-11-10
Soja,BA,Arataca,1900-10-01,1900-12-31
Soja,BA,Aurelino Leal,1900-10-01,1900-12-31
Soja,BA,Baianópolis,1900-10-21,1900-12-31
Soja,BA,Barra,1900-11-01,1900-12-31
Soja,BA,Barra do Choça,1900-10-01,1900-11-30
Soja,BA,Barra do Rocha,1900-10-01,1900-10-10
Soja,BA,Barreiras,1900-10-21,1900-12-31
Soja,BA,Barro Preto,1900-10-01,1900-12-31
Soja,BA,Belmonte,1900-10-01,1900-10-31
Soja,BA,Belo Campo,1900-10-21,1900-11-20
Soja,BA,Boa Nova,1900-10-01,1900-10-31
Soja,BA,Bom Jesus da Lapa,1900-11-01,1900-11-30
Soja,BA,Bom Jesus da Serra,1900-10-21,1900-10-31
Soja,BA,Boquira,1900-11-01,1900-11-20
Soja,BA,Botuporã,1900-11-01,1900-11-20
Soja,BA,Brejolândia,1900-11-01,1900-12-31
Soja,BA,Brumado,1900-11-01,1900-11-10
Soja,BA,Buerarema,1900-10-01,1900-12-31
Soja,BA,Buritirama,1900-11-01,1900-12-31
Soja,BA,Caatiba,1900-10-01,1900-11-30
Soja,BA,Caculé,1900-11-01,1900-11-20
Soja,BA,Caetité,1900-11-01,1900-11-20
