Safra,Cultura,UF,Município,Grupo,Solo,Outros manejos,Clima,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2024\2025,Soja,AC,Acrelândia,Grupo I,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Acrelândia,Grupo II,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Acrelândia,Grupo III,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Assis Brasil,Grupo I,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Assis Brasil,Grupo II,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Assis Brasil,Grupo III,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Brasiléia,Grupo I,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Brasiléia,Grupo II,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Brasiléia,Grupo III,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Bujari,Grupo I,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
2024\2025,Soja,AC,Bujari,Grupo II,AD6,Sequeiro,Não se aplica,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20
